codice_provincia,codice_regione,daily_cases,data,denominazione_provincia,denominazione_regione,lat,lon,long,note,sigla_provincia,stato,totale_casi,IQA
37,8,,2020-02-24,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,0,90.0
37,8,0.0,2020-02-25,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,0,64.0
37,8,0.0,2020-02-26,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,0,26.0
37,8,0.0,2020-02-27,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,0,23.416666666666668
37,8,0.0,2020-02-28,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,0,21.0
37,8,2.0,2020-02-29,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2,32.0
37,8,0.0,2020-03-01,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2,57.99999999999999
37,8,1.0,2020-03-02,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3,22.0
37,8,3.0,2020-03-03,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,6,14.916666666666664
37,8,5.0,2020-03-04,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,11,20.0
37,8,8.0,2020-03-05,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,19,22.0
37,8,22.0,2020-03-06,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,41,32.0
37,8,8.0,2020-03-07,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,49,48.0
37,8,13.0,2020-03-08,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,62,22.0
37,8,18.0,2020-03-09,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,80,40.0
37,8,6.0,2020-03-10,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,86,42.0
37,8,22.0,2020-03-11,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,108,34.0
37,8,14.0,2020-03-12,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,122,52.0
37,8,33.0,2020-03-13,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,155,36.0
37,8,40.0,2020-03-14,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,195,50.0
37,8,35.0,2020-03-15,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,230,20.333333333333332
37,8,61.0,2020-03-16,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,291,32.0
37,8,42.0,2020-03-17,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,333,48.0
37,8,62.0,2020-03-18,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,395,56.00000000000001
37,8,70.0,2020-03-19,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,465,48.0
37,8,87.0,2020-03-20,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,552,56.00000000000001
37,8,58.0,2020-03-21,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,610,42.0
37,8,64.0,2020-03-22,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,674,38.0
37,8,159.0,2020-03-23,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,833,28.000000000000004
37,8,135.0,2020-03-24,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,968,32.0
37,8,139.0,2020-03-25,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,1107,40.0
37,8,146.0,2020-03-26,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,1253,28.000000000000004
37,8,160.0,2020-03-27,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,1413,57.99999999999999
37,8,173.0,2020-03-28,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,1586,142.0
37,8,157.0,2020-03-29,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,1743,130.0
37,8,129.0,2020-03-30,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,1872,72.0
37,8,68.0,2020-03-31,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,1940,21.0
37,8,144.0,2020-04-01,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2084,28.000000000000004
37,8,141.0,2020-04-02,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2225,34.0
37,8,114.0,2020-04-03,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2339,38.0
37,8,90.0,2020-04-04,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2429,40.0
37,8,92.0,2020-04-05,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2521,34.0
37,8,96.0,2020-04-06,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2617,50.0
37,8,39.0,2020-04-07,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2656,52.0
37,8,102.0,2020-04-08,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2758,34.0
37,8,98.0,2020-04-09,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2856,32.0
37,8,98.0,2020-04-10,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,2954,34.0
37,8,121.0,2020-04-11,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3075,35.91666666666667
37,8,122.0,2020-04-12,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3197,31.5
37,8,95.0,2020-04-13,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3292,35.25
37,8,28.0,2020-04-14,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3320,34.25
37,8,60.0,2020-04-15,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3380,26.0
37,8,110.0,2020-04-16,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3490,28.000000000000004
37,8,129.0,2020-04-17,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3619,34.0
37,8,60.0,2020-04-18,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3679,34.0
37,8,61.0,2020-04-19,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3740,28.16666666666666
37,8,82.0,2020-04-20,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3822,22.0
37,8,43.0,2020-04-21,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3865,24.0
37,8,52.0,2020-04-22,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3917,34.0
37,8,54.0,2020-04-23,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,3971,40.0
37,8,62.0,2020-04-24,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4033,35.25
37,8,69.0,2020-04-25,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4102,32.83333333333333
37,8,54.0,2020-04-26,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4156,33.916666666666664
37,8,35.0,2020-04-27,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4191,29.5
37,8,72.0,2020-04-28,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4263,21.333333333333336
37,8,89.0,2020-04-29,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4352,23.75
37,8,64.0,2020-04-30,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4416,22.416666666666664
37,8,42.0,2020-05-01,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4458,24.083333333333332
37,8,49.0,2020-05-02,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4507,26.75
37,8,43.0,2020-05-03,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4550,26.416666666666664
37,8,40.0,2020-05-04,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4590,30.833333333333336
37,8,29.0,2020-05-05,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4619,28.16666666666666
37,8,27.0,2020-05-06,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4646,30.0
37,8,39.0,2020-05-07,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4685,32.83333333333333
37,8,35.0,2020-05-08,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4720,32.166666666666664
37,8,31.0,2020-05-09,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4751,35.91666666666667
37,8,22.0,2020-05-10,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4773,32.5
37,8,11.0,2020-05-11,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4784,25.416666666666664
37,8,21.0,2020-05-12,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4805,22.416666666666664
37,8,21.0,2020-05-13,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4826,26.0
37,8,15.0,2020-05-14,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4841,57.99999999999999
37,8,12.0,2020-05-15,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4853,28.000000000000004
37,8,15.0,2020-05-16,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4868,26.0
37,8,12.0,2020-05-17,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4880,40.0
37,8,1.0,2020-05-18,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4881,46.0
37,8,12.0,2020-05-19,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4893,44.0
37,8,8.0,2020-05-20,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4901,26.0
37,8,10.0,2020-05-21,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4911,31.833333333333336
37,8,9.0,2020-05-22,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4920,36.25
37,8,11.0,2020-05-23,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4931,34.583333333333336
37,8,11.0,2020-05-24,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4942,30.5
37,8,14.0,2020-05-25,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4956,33.916666666666664
37,8,10.0,2020-05-26,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4966,27.749999999999996
37,8,2.0,2020-05-27,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4968,29.83333333333333
37,8,30.0,2020-05-28,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,4998,34.583333333333336
37,8,8.0,2020-05-29,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5006,25.083333333333336
37,8,10.0,2020-05-30,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5016,28.16666666666666
37,8,5.0,2020-05-31,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5021,27.749999999999996
37,8,8.0,2020-06-01,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5029,32.5
37,8,5.0,2020-06-02,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5034,33.58333333333333
37,8,2.0,2020-06-03,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5036,28.500000000000004
37,8,5.0,2020-06-04,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5041,21.333333333333336
37,8,2.0,2020-06-05,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5043,26.083333333333336
37,8,4.0,2020-06-06,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5047,24.75
37,8,0.0,2020-06-07,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5047,22.416666666666664
37,8,3.0,2020-06-08,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5050,30.0
37,8,4.0,2020-06-09,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5054,22.0
37,8,4.0,2020-06-10,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5058,26.083333333333336
37,8,8.0,2020-06-11,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5066,25.083333333333336
37,8,14.0,2020-06-12,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5080,28.833333333333332
37,8,15.0,2020-06-13,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5095,27.749999999999996
37,8,7.0,2020-06-14,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5102,29.5
37,8,5.0,2020-06-15,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5107,21.333333333333336
37,8,2.0,2020-06-16,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5109,30.5
37,8,5.0,2020-06-17,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5114,28.833333333333332
37,8,16.0,2020-06-18,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5130,30.5
37,8,12.0,2020-06-19,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5142,28.500000000000004
37,8,9.0,2020-06-20,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5151,33.58333333333333
37,8,14.0,2020-06-21,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5165,36.25
37,8,11.0,2020-06-22,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5176,37.583333333333336
37,8,5.0,2020-06-23,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5181,49.75
37,8,-52.0,2020-06-24,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5129,38.58333333333333
37,8,31.0,2020-06-25,Bologna,Emilia-Romagna,44.49436681,,11.341720800000001,,BO,ITA,5160,43.833333333333336
37,8,23.0,2020-06-26,Bologna,Emilia-Romagna,44.49436681,,11.341720800000001,,BO,ITA,5183,40.33333333333333
37,8,28.0,2020-06-27,Bologna,Emilia-Romagna,44.49436681,,11.341720800000001,,BO,ITA,5211,40.33333333333333
37,8,4.0,2020-06-28,Bologna,Emilia-Romagna,44.49436681,,11.341720800000001,,BO,ITA,5215,44.333333333333336
37,8,6.0,2020-06-29,Bologna,Emilia-Romagna,44.49436681,,11.341720800000001,,BO,ITA,5221,37.25
37,8,8.0,2020-06-30,Bologna,Emilia-Romagna,44.49436681,,11.341720800000001,,BO,ITA,5229,32.0
37,8,8.0,2020-07-01,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5237,35.25
37,8,14.0,2020-07-02,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5251,44.0
37,8,17.0,2020-07-03,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5268,32.5
37,8,16.0,2020-07-04,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5284,25.083333333333336
37,8,8.0,2020-07-05,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5292,38.99999999999999
37,8,7.0,2020-07-06,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5299,45.416666666666664
37,8,5.0,2020-07-07,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5304,36.0
37,8,17.0,2020-07-08,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5321,37.916666666666664
37,8,14.0,2020-07-09,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5335,51.416666666666664
37,8,23.0,2020-07-10,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5358,59.0
37,8,20.0,2020-07-11,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5378,44.916666666666664
37,8,19.0,2020-07-12,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5397,28.833333333333332
37,8,0.0,2020-07-13,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5397,30.5
37,8,5.0,2020-07-14,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5402,34.583333333333336
37,8,0.0,2020-07-15,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5402,30.166666666666668
37,8,17.0,2020-07-16,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5419,44.916666666666664
37,8,21.0,2020-07-17,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5440,31.166666666666664
37,8,8.0,2020-07-18,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5448,32.5
37,8,3.0,2020-07-19,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5451,37.25
37,8,7.0,2020-07-20,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5458,51.416666666666664
37,8,7.0,2020-07-21,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5465,51.916666666666664
37,8,16.0,2020-07-22,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5481,48.666666666666664
37,8,26.0,2020-07-23,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5507,43.833333333333336
37,8,14.0,2020-07-24,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5521,25.75
37,8,6.0,2020-07-25,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5527,37.583333333333336
37,8,25.0,2020-07-26,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5552,38.99999999999999
37,8,6.0,2020-07-27,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5558,43.25
37,8,5.0,2020-07-28,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5563,56.833333333333336
37,8,13.0,2020-07-29,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5576,52.5
37,8,2.0,2020-07-30,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5578,53.58333333333333
37,8,10.0,2020-07-31,Bologna,Emilia-Romagna,44.49436681,,11.3417208,,BO,ITA,5588,44.916666666666664
17,3,,2020-02-24,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,0,98.0
17,3,0.0,2020-02-25,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,0,100.0
17,3,2.0,2020-02-26,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,2,86.0
17,3,8.0,2020-02-27,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,10,30.0
17,3,3.0,2020-02-28,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,13,38.0
17,3,1.0,2020-02-29,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,14,42.0
17,3,26.0,2020-03-03,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,86,42.0
17,3,41.0,2020-03-04,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,127,32.0
17,3,28.0,2020-03-05,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,155,26.0
17,3,27.0,2020-03-06,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,182,40.0
17,3,231.0,2020-03-07,Brescia,Lombardia,45.53993052,,10.21910323,pd-IT-0001,BS,ITA,413,50.0
17,3,88.0,2020-03-08,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,501,29.83333333333333
17,3,238.0,2020-03-09,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,739,40.0
17,3,51.0,2020-03-10,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,790,66.0
17,3,561.0,2020-03-11,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,1351,57.99999999999999
17,3,247.0,2020-03-12,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,1598,100.0
17,3,186.0,2020-03-13,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,1784,50.0
17,3,338.0,2020-03-14,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,2122,46.0
17,3,351.0,2020-03-15,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,2473,29.166666666666668
17,3,445.0,2020-03-16,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,2918,36.0
17,3,382.0,2020-03-17,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,3300,64.0
17,3,484.0,2020-03-18,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,3784,80.0
17,3,463.0,2020-03-19,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,4247,60.0
17,3,401.0,2020-03-20,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,4648,78.0
17,3,380.0,2020-03-21,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,5028,68.0
17,3,289.0,2020-03-22,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,5317,40.0
17,3,588.0,2020-03-23,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,5905,28.000000000000004
17,3,393.0,2020-03-24,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,6298,30.0
17,3,299.0,2020-03-25,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,6597,28.000000000000004
17,3,334.0,2020-03-26,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,6931,42.0
17,3,374.0,2020-03-27,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,7305,57.99999999999999
17,3,373.0,2020-03-28,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,7678,138.0
17,3,335.0,2020-03-29,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,8013,124.0
17,3,200.0,2020-03-30,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,8213,57.99999999999999
17,3,154.0,2020-03-31,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,8367,22.75
17,3,231.0,2020-04-01,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,8598,30.0
17,3,159.0,2020-04-02,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,8757,40.0
17,3,257.0,2020-04-03,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,9014,60.0
17,3,166.0,2020-04-04,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,9180,64.0
17,3,160.0,2020-04-05,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,9340,40.0
17,3,137.0,2020-04-06,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,9477,43.25
17,3,117.0,2020-04-07,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,9594,54.0
17,3,315.0,2020-04-08,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,9909,42.75
17,3,213.0,2020-04-09,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,10122,50.0
17,3,247.0,2020-04-10,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,10369,50.0
17,3,230.0,2020-04-11,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,10599,48.166666666666664
17,3,269.0,2020-04-12,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,10868,28.000000000000004
17,3,190.0,2020-04-13,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,11058,30.0
17,3,35.0,2020-04-14,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,11093,46.0
17,3,94.0,2020-04-15,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,11187,38.0
17,3,168.0,2020-04-16,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,11355,44.0
17,3,212.0,2020-04-17,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,11567,50.0
17,3,191.0,2020-04-18,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,11758,42.0
17,3,188.0,2020-04-19,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,11946,52.0
17,3,58.0,2020-04-20,Brescia,Lombardia,45.53993052,,10.21910323,,BS,ITA,12004,28.000000000000004
